antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0246,0.0508,0.021,0.853658536585366,16.80430190128673,1.0,0.019750320000000002,6.486200000000005,0.96421101965494,0.38602941176470595,0.8458265240048103,0.6335221816785097
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0258,0.0508,0.02,0.7751937984496124,15.259720441921505,1.0,0.018689360000000002,4.222303448275863,0.9592157667830017,0.35335689045936397,0.7631624509582938,0.5844472929255936
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0494,0.0508,0.0378,0.7651821862348178,15.062641461315312,1.0,0.03529048,4.04228275862069,0.9821276898912076,0.6057692307692308,0.7526150297459101,0.7546383372118971
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.0278,0.0494,0.021,0.7553956834532375,15.291410596219382,1.0,0.01962668,3.8862764705882364,0.9613287487387467,0.3736654804270464,0.7426842872430438,0.5902484490140681
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.0508,0.0494,0.0378,0.7440944881889764,15.062641461315312,1.0,0.03529048,3.7146523076923077,0.9835762558055013,0.6057692307692308,0.7307958007458198,0.7546383372118971
frozenset({'CANDLEHOLDER PINK HANGING HEART'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.033,0.1244,0.0232,0.7030303030303029,5.651368995420442,1.0,0.0190948,2.9484489795918356,0.8511393217558749,0.17287630402384502,0.6608386284037265,0.44476273993958876
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.045,0.0468,0.0308,0.6844444444444445,14.62488129154796,1.0,0.028694,3.0207042253521137,0.9755218603386143,0.5049180327868853,0.6689513684897656,0.6712820512820513
frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.0594,0.086,0.04,0.6734006734006734,7.8302403883799245,1.0,0.0348916,2.7985360824742274,0.9273761428875187,0.3795066413662239,0.6426703210073014,0.5692584762352204
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0476,0.1244,0.0318,0.6680672268907563,5.370315328703828,1.0,0.025878560000000002,2.637883544303797,0.8544636654436722,0.22681883024251073,0.6209082079611196,0.46184711826852926
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.0468,0.045,0.0308,0.6581196581196581,14.62488129154796,1.0,0.028694,2.7933749999999997,0.977364012403878,0.5049180327868853,0.6420101132143017,0.6712820512820513
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.045,0.084,0.0294,0.6533333333333333,7.777777777777777,1.0,0.02562,2.6423076923076922,0.9124906507105461,0.2951807228915662,0.6215429403202329,0.5016666666666667
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0418,0.084,0.027,0.645933014354067,7.6896787423103214,1.0,0.0234888,2.5870810810810814,0.907906027505276,0.2732793522267207,0.6134639894695055,0.4836807928913192
frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.0322,0.043,0.0206,0.639751552795031,14.877943088256536,1.0,0.0192154,2.6565,0.9638214587383656,0.3772893772893774,0.6235648409561453,0.5594106601184458
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0496,0.084,0.0316,0.6370967741935485,7.584485407066053,1.0,0.027433600000000002,2.5240888888888895,0.9134594894088565,0.3098039215686275,0.6038174390759263,0.5066436251920123
frozenset({'JUMBO BAG OWLS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0418,0.084,0.0266,0.6363636363636364,7.575757575757575,1.0,0.0230888,2.519,0.9058651638488833,0.26814516129032256,0.6030170702659786,0.4765151515151515
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.0338,0.0384,0.0212,0.6272189349112427,16.33382642998028,1.0,0.01990208,2.5795301587301593,0.9716180485309108,0.415686274509804,0.6123325030274986,0.5896511341222881
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.067,0.087,0.042,0.6268656716417911,7.205352547606794,1.0,0.036171,2.4468400000000003,0.9230592558566835,0.37500000000000006,0.5913096074937471,0.5548121461657232
